1970	1970-05-24	1	2816	LOVE STORY	Erich Segal
1970	1970-05-24	2	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-05-24	3	1411	DELIVERANCE	James Dickey
1970	1970-05-24	4	2783	LOSING BATTLES	Eudora Welty
1970	1970-05-24	5	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-05-24	6	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-05-24	7	5279	THE GODFATHER	Mario Puzo
1970	1970-05-24	8	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-05-24	9	902	CALICO PALACE	Gwen Bristow
1970	1970-05-24	10	49	A BEGGAR IN JERUSALEM	Elie Wiesel
1970	1970-05-31	1	2816	LOVE STORY	Erich Segal
1970	1970-05-31	2	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-05-31	3	1411	DELIVERANCE	James Dickey
1970	1970-05-31	4	2783	LOSING BATTLES	Eudora Welty
1970	1970-05-31	5	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-05-31	6	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-05-31	7	5279	THE GODFATHER	Mario Puzo
1970	1970-05-31	8	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-05-31	9	3106	MR. SAMMLERS PLANET	Saul Bellow
1970	1970-05-31	10	5699	THE LORD WON'T MIND	Gordon Merrick
1970	1970-06-07	1	2816	LOVE STORY	Erich Segal
1970	1970-06-07	2	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-06-07	3	1411	DELIVERANCE	James Dickey
1970	1970-06-07	4	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-06-07	5	2783	LOSING BATTLES	Eudora Welty
1970	1970-06-07	6	902	CALICO PALACE	Gwen Bristow
1970	1970-06-07	7	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-06-07	8	5279	THE GODFATHER	Mario Puzo
1970	1970-06-07	9	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-06-07	10	2741	LOCAL ANESTHETIC	Gunter Grass
1970	1970-06-14	1	2816	LOVE STORY	Erich Segal
1970	1970-06-14	2	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-06-14	3	1411	DELIVERANCE	James Dickey
1970	1970-06-14	4	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-06-14	5	2783	LOSING BATTLES	Eudora Welty
1970	1970-06-14	6	902	CALICO PALACE	Gwen Bristow
1970	1970-06-14	7	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-06-14	8	5279	THE GODFATHER	Mario Puzo
1970	1970-06-14	9	6597	THE VALUE OF NOTHING	John Weitz
1970	1970-06-14	10	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-06-21	1	2816	LOVE STORY	Erich Segal
1970	1970-06-21	2	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-06-21	3	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-06-21	4	1411	DELIVERANCE	James Dickey
1970	1970-06-21	5	2783	LOSING BATTLES	Eudora Welty
1970	1970-06-21	6	902	CALICO PALACE	Gwen Bristow
1970	1970-06-21	7	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-06-21	8	5279	THE GODFATHER	Mario Puzo
1970	1970-06-21	9	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-06-21	10	5699	THE LORD WON'T MIND	Gordon Merrick
1970	1970-06-28	1	2816	LOVE STORY	Erich Segal
1970	1970-06-28	2	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-06-28	3	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-06-28	4	1411	DELIVERANCE	James Dickey
1970	1970-06-28	5	902	CALICO PALACE	Gwen Bristow
1970	1970-06-28	6	2783	LOSING BATTLES	Eudora Welty
1970	1970-06-28	7	5279	THE GODFATHER	Mario Puzo
1970	1970-06-28	8	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-06-28	9	5699	THE LORD WON'T MIND	Gordon Merrick
1970	1970-06-28	10	6956	TRAVELS WITH MY AUNT	Graham Greene
1970	1970-07-05	1	2816	LOVE STORY	Erich Segal
1970	1970-07-05	2	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-07-05	3	1411	DELIVERANCE	James Dickey
1970	1970-07-05	4	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-07-05	5	2783	LOSING BATTLES	Eudora Welty
1970	1970-07-05	6	902	CALICO PALACE	Gwen Bristow
1970	1970-07-05	7	4911	THE CRYSTAL CAVE	Mary Stewart
1970	1970-07-05	8	4363	SUCH GOOD FRIENDS	Lois Gould
1970	1970-07-05	9	5279	THE GODFATHER	Mario Puzo
1970	1970-07-05	10	5699	THE LORD WON'T MIND	Gordon Merrick
1970	1970-07-12	1	2816	LOVE STORY	Erich Segal
1970	1970-07-12	2	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-07-12	3	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-07-12	4	1411	DELIVERANCE	James Dickey
1970	1970-07-12	5	902	CALICO PALACE	Gwen Bristow
1970	1970-07-12	6	2783	LOSING BATTLES	Eudora Welty
1970	1970-07-12	7	4363	SUCH GOOD FRIENDS	Lois Gould
1970	1970-07-12	8	4911	THE CRYSTAL CAVE	Mary Stewart
1970	1970-07-12	9	1517	DOWN ALL THE DAYS	Christy Brown
1970	1970-07-12	10	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-07-19	1	2816	LOVE STORY	Erich Segal
1970	1970-07-19	2	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-07-19	3	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-07-19	4	1411	DELIVERANCE	James Dickey
1970	1970-07-19	5	902	CALICO PALACE	Gwen Bristow
1970	1970-07-19	6	4911	THE CRYSTAL CAVE	Mary Stewart
1970	1970-07-19	7	5699	THE LORD WON'T MIND	Gordon Merrick
1970	1970-07-19	8	2783	LOSING BATTLES	Eudora Welty
1970	1970-07-19	9	5221	THE GANG THAT COULDN'T SHOOT STRAIGHT	Jimmy Breslin
1970	1970-07-19	10	4363	SUCH GOOD FRIENDS	Lois Gould
1970	1970-07-26	1	2816	LOVE STORY	Erich Segal
1970	1970-07-26	2	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-07-26	3	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-07-26	4	1411	DELIVERANCE	James Dickey
1970	1970-07-26	5	4911	THE CRYSTAL CAVE	Mary Stewart
1970	1970-07-26	6	902	CALICO PALACE	Gwen Bristow
1970	1970-07-26	7	2783	LOSING BATTLES	Eudora Welty
1970	1970-07-26	8	5699	THE LORD WON'T MIND	Gordon Merrick
1970	1970-07-26	9	6241	THE SECRET WOMAN	Victoria Holt
1970	1970-07-26	10	631	BECH: A BOOK	John Updike
1970	1970-08-02	1	2816	LOVE STORY	Erich Segal
1970	1970-08-02	2	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-08-02	3	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-08-02	4	4911	THE CRYSTAL CAVE	Mary Stewart
1970	1970-08-02	5	1411	DELIVERANCE	James Dickey
1970	1970-08-02	6	902	CALICO PALACE	Gwen Bristow
1970	1970-08-02	7	631	BECH: A BOOK	John Updike
1970	1970-08-02	8	5699	THE LORD WON'T MIND	Gordon Merrick
1970	1970-08-02	9	4363	SUCH GOOD FRIENDS	Lois Gould
1970	1970-08-02	10	6241	THE SECRET WOMAN	Victoria Holt
1970	1970-08-09	1	2816	LOVE STORY	Erich Segal
1970	1970-08-09	2	4911	THE CRYSTAL CAVE	Mary Stewart
1970	1970-08-09	3	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-08-09	4	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-08-09	5	1411	DELIVERANCE	James Dickey
1970	1970-08-09	6	902	CALICO PALACE	Gwen Bristow
1970	1970-08-09	7	6241	THE SECRET WOMAN	Victoria Holt
1970	1970-08-09	8	631	BECH: A BOOK	John Updike
1970	1970-08-09	9	4363	SUCH GOOD FRIENDS	Lois Gould
1970	1970-08-09	10	2783	LOSING BATTLES	Eudora Welty
1970	1970-08-16	1	2816	LOVE STORY	Erich Segal
1970	1970-08-16	2	4911	THE CRYSTAL CAVE	Mary Stewart
1970	1970-08-16	3	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-08-16	4	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-08-16	5	1411	DELIVERANCE	James Dickey
1970	1970-08-16	6	902	CALICO PALACE	Gwen Bristow
1970	1970-08-16	7	6241	THE SECRET WOMAN	Victoria Holt
1970	1970-08-16	8	5699	THE LORD WON'T MIND	Gordon Merrick
1970	1970-08-16	9	4363	SUCH GOOD FRIENDS	Lois Gould
1970	1970-08-16	10	631	BECH: A BOOK	John Updike
1970	1970-08-23	1	2816	LOVE STORY	Erich Segal
1970	1970-08-23	2	4911	THE CRYSTAL CAVE	Mary Stewart
1970	1970-08-23	3	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-08-23	4	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-08-23	5	1411	DELIVERANCE	James Dickey
1970	1970-08-23	6	902	CALICO PALACE	Gwen Bristow
1970	1970-08-23	7	6241	THE SECRET WOMAN	Victoria Holt
1970	1970-08-23	8	631	BECH: A BOOK	John Updike
1970	1970-08-23	9	4363	SUCH GOOD FRIENDS	Lois Gould
1970	1970-08-23	10	5699	THE LORD WON'T MIND	Gordon Merrick
1970	1970-08-30	1	2816	LOVE STORY	Erich Segal
1970	1970-08-30	2	4911	THE CRYSTAL CAVE	Mary Stewart
1970	1970-08-30	3	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-08-30	4	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-08-30	5	6241	THE SECRET WOMAN	Victoria Holt
1970	1970-08-30	6	902	CALICO PALACE	Gwen Bristow
1970	1970-08-30	7	1411	DELIVERANCE	James Dickey
1970	1970-08-30	8	631	BECH: A BOOK	John Updike
1970	1970-08-30	9	5699	THE LORD WON'T MIND	Gordon Merrick
1970	1970-08-30	10	2783	LOSING BATTLES	Eudora Welty
1970	1970-09-06	1	2816	LOVE STORY	Erich Segal
1970	1970-09-06	2	4911	THE CRYSTAL CAVE	Mary Stewart
1970	1970-09-06	3	2050	GREAT LION OF GOD	Taylor Caldwell
1970	1970-09-06	4	5206	THE FRENCH LIEUTENANT'S WOMAN	John Fowles
1970	1970-09-06	5	6241	THE SECRET WOMAN	Victoria Holt
1970	1970-09-06	6	902	CALICO PALACE	Gwen Bristow
1970	1970-09-06	7	1411	DELIVERANCE	James Dickey
1970	1970-09-06	8	631	BECH: A BOOK	John Updike
1970	1970-09-06	9	5699	THE LORD WON'T MIND	Gordon Merrick
1970	1970-09-06	10	3536	PLAY IT AS IT LAYS	Joan Didion
